,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
59,Aopa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500001,Baik,Konawe Selatan,,,,64.81,,,2,6504.2353,35.25,,,,,,
60,Aopu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500002,Baik,Konawe Selatan,,,,64.81,,,3,6504.2353,16.7,,,,,,
61,Wotusa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500003,Baik,Konawe Selatan,,,,64.81,,,3,6504.2353,9.2,,,,,,
62,Teteasa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500004,Baik,Konawe Selatan,Angata,Tetaasa,,64.81,,,3,6504.2353,10.7,,,,,,
63,Tetewatu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,741000036,Baik,Konawe Utara,Wiwirano,Tetewatu,,64.81,,,3,6504.2353,9.2,,,,,,
64,Otewe,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500005,Baik,Konawe Selatan,,,,64.81,,,3,6504.2353,7.6,,,,,,
65,Motaha,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500006,Baik,Konawe Selatan,Motaha,Motaha,,64.81,,,3,6504.2353,12.3,,,,,,
66,Benua,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740500007,Baik,Konawe Selatan,,,,64.81,,,3,6504.2353,16.6,,,,,,
67,Langgonawe,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300024,Baik,Konawe,,,,64.81,,,2,6504.2353,18.6,,,,,,
68,Awiliti,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300025,Baik,Konawe,,,,64.81,,,2,6504.2353,15.2,,,,,,
69,Meraka,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300026,Baik,Konawe,,,,64.81,,,3,6504.2353,12.5,,,,,,
70,Lambuya,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300027,Baik,Konawe,,,,64.81,,,3,6504.2353,8.5,,,,,,
71,Wawolemo,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300028,Baik,Konawe,,,,64.81,,,3,6504.2353,9.75,,,,,,
72,Lahumbuti,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300029,Baik,Konawe,,,,64.81,,,2,6504.2353,160.25,45,,,,,
73,Takambopo,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300030,Baik,Konawe,,,,64.81,,,3,6504.2353,10.3,,,,,,
74,Anggapoa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300031,Baik,Konawe,,,,64.81,,,3,6504.2353,18,,,,,,
75,Anggasuputi,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300032,Baik,Konawe,,,,64.81,,,3,6504.2353,32.5,,,,,,
76,Benua,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300033,Baik,Konawe,,,,64.81,,,3,6504.2353,24.8,,,,,,
77,Meluhu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300034,Baik,Konawe,,,,64.81,,,3,6504.2353,22.3,,,,,,
78,Anggotoa,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300035,Baik,Konawe,,,,64.81,,,3,6504.2353,17.25,,,,,,
79,Ambekaeri,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300036,Baik,Konawe,,,,64.81,,,3,6504.2353,37.2,,,,,,
80,Anggoro,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300037,Baik,Konawe,,,,64.81,,,3,6504.2353,19.75,,,,,,
81,Abuki,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300038,Baik,Konawe,,,,64.81,,,3,6504.2353,33.2,,,,,,
82,Aleuti,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300039,Baik,Konawe,,,,64.81,,,3,6504.2353,19.25,,,,,,
83,Ameroro,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300040,Baik,Konawe,Uepai,Ameroro,,64.81,"PLTMH 0,558 MW",,2,6504.2353,25.3,,,,,,
84,Murehe,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300041,Baik,Konawe,,,,64.81,,,2,6504.2353,36.7,,,,,,
